metode,sl_atr,tp_atr,tahun_mulai,tahun_akhir,n_trade,win,loss,win_rate,avg_r,total_R,profit_factor,max_dd_pct,expectancy_R
rizki,1.0,3.0,2016-09-19,2026-09-18,38,14,24,0.3684210526315789,0.47368421052631576,18.0,1.75,0.07725530557208009,0.47368421052631576
rizki,1.5,3.0,2016-09-19,2026-09-18,38,17,21,0.4473684210526316,0.34210526315789475,13.0,1.619047619047619,0.049009950100000046,0.34210526315789475
rizki,1.0,2.0,2016-09-19,2026-09-18,4,2,2,0.5,0.5,2.0,2.0,0.010000000000000021,0.5
rizki,1.0,1.5,2016-09-19,2026-09-18,4,2,2,0.5,0.25,1.0,1.5,0.010000000000000021,0.25
rizki,1.0,1.5,2016-09-19,2026-09-18,4,2,2,0.5,0.25,1.0,1.5,0.010000000000000021,0.25
efkah,1.5,3.0,2016-09-19,2026-09-18,4,2,2,0.5,0.5,2.0,2.0,0.019900000000000074,0.5
efkah,1.0,4.0,2016-09-19,2026-09-18,4,1,3,0.25,0.25,1.0,1.3333333333333333,0.019900000000000174,0.25
efkah,1.0,3.0,2016-09-19,2026-09-18,4,1,3,0.25,0.0,0.0,1.0,0.019900000000000015,0.0
efkah,1.0,2.0,2016-09-19,2026-09-18,4,1,3,0.25,-0.25,-1.0,0.6666666666666666,0.019900000000000074,-0.25
efkah,1.0,1.5,2016-09-19,2026-09-18,4,1,3,0.25,-0.375,-1.5,0.5,0.019899999999999998,-0.375
